id,name,key,code,alt_names,country_id,state_id,part_id,county_id,pop,area,created_at,updated_at
76,Nassau,nassau,,,91,,,,,,"2017-12-28 04:32:13.735842","2017-12-28 04:32:13.735842"
77,Bridgetown,bridgetown,,,92,,,,,,"2017-12-28 04:32:13.745076","2017-12-28 04:32:13.745076"
78,Roseau,roseau,,,93,,,,,,"2017-12-28 04:32:13.754739","2017-12-28 04:32:13.754739"
79,"St. George's",stgeorges,,,94,,,,,,"2017-12-28 04:32:13.764762","2017-12-28 04:32:13.764762"
80,Basseterre,basseterre,,,95,,,,,,"2017-12-28 04:32:13.773124","2017-12-28 04:32:13.773124"
81,Castries,castries,,,96,,,,,,"2017-12-28 04:32:13.783917","2017-12-28 04:32:13.783917"
82,Kingstown,kingstown,,,97,,,,,,"2017-12-28 04:32:13.792100","2017-12-28 04:32:13.792100"
83,"Port of Spain",portofspain,,,98,,,,,,"2017-12-28 04:32:13.800997","2017-12-28 04:32:13.800997"
84,Belmopan,belmopan,,,99,,,,,,"2017-12-28 04:32:13.810743","2017-12-28 04:32:13.810743"
85,"Guatemala City",guatemalacity,,,100,,,,,,"2017-12-28 04:32:13.821528","2017-12-28 04:32:13.821528"
86,"San José",sanjose,,,101,,,,,,"2017-12-28 04:32:13.830645","2017-12-28 04:32:13.830645"
87,Tegucigalpa,tegucigalpa,,,102,,,,,,"2017-12-28 04:32:13.839088","2017-12-28 04:32:13.839088"
88,"San Salvador",sansalvador,,,103,,,,,,"2017-12-28 04:32:13.850017","2017-12-28 04:32:13.850017"
89,Managua,managua,,,104,,,,,,"2017-12-28 04:32:13.858227","2017-12-28 04:32:13.858227"
90,"Panama City",panamacity,,,105,,,,,,"2017-12-28 04:32:13.867072","2017-12-28 04:32:13.867072"
91,Wien,wien,,,107,,,,,,"2017-12-28 04:32:13.887953","2017-12-28 04:32:13.887953"
92,Brussels,brussels,,,108,,,,,,"2017-12-28 04:32:13.897393","2017-12-28 04:32:13.897393"
93,Nicosia,nicosia,,,109,,,,,,"2017-12-28 04:32:13.907236","2017-12-28 04:32:13.907236"
94,Berlin,berlin,,,110,,,,,,"2017-12-28 04:32:13.917189","2017-12-28 04:32:13.917189"
95,Tallinn,tallinn,,,111,,,,,,"2017-12-28 04:32:13.925114","2017-12-28 04:32:13.925114"
96,Madrid,madrid,,,112,,,,,,"2017-12-28 04:32:13.933587","2017-12-28 04:32:13.933587"
97,Helsinki,helsinki,,,113,,,,,,"2017-12-28 04:32:13.942823","2017-12-28 04:32:13.942823"
