id,msg,level,app,tag,pid,tid,ts,created_at,updated_at
55,"no country match found for >Zanzibar<; skipping line; in [1-codes/motor]",warn,,,14013,10252500,"2017-12-28 04:32:19 +0000","2017-12-28 04:32:19.271138","2017-12-28 04:32:19.271138"
56,"no country match found for >Alderney<; skipping line; in [1-codes/motor]",warn,,,14013,10252500,"2017-12-28 04:32:19 +0000","2017-12-28 04:32:19.313562","2017-12-28 04:32:19.313562"
57,"no country match found for >Transnistria<; skipping line; in [1-codes/motor]",warn,,,14013,10252500,"2017-12-28 04:32:19 +0000","2017-12-28 04:32:19.503885","2017-12-28 04:32:19.503885"
58,"no country match found for >Kosovo<; skipping line; in [1-codes/motor]",warn,,,14013,10252500,"2017-12-28 04:32:19 +0000","2017-12-28 04:32:19.554373","2017-12-28 04:32:19.554373"
59,"no country match found for >Western Sahara<; skipping line; in [1-codes/motor]",warn,,,14013,10252500,"2017-12-28 04:32:19 +0000","2017-12-28 04:32:19.687567","2017-12-28 04:32:19.687567"
60,"unknown type for value >World< - key fifa",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.860111","2017-12-28 04:32:20.860111"
61,"unknown type for value >Europe< - key uefa",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.872759","2017-12-28 04:32:20.872759"
62,"unknown type for value >South America< - key conmebol",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.882210","2017-12-28 04:32:20.882210"
63,"unknown type for value >North America, Central America & Caribbean Islands< - key concacaf",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.886629","2017-12-28 04:32:20.886629"
64,"unknown type for value >Africa< - key caf",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.892089","2017-12-28 04:32:20.892089"
65,"unknown type for value >Asia< - key afc",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.896393","2017-12-28 04:32:20.896393"
66,"unknown type for value >Pacific< - key ofc",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.901692","2017-12-28 04:32:20.901692"
67,"unknown type for value >Eastern Africa< - key cecafa",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.915209","2017-12-28 04:32:20.915209"
68,"unknown type for value >Southern Africa< - key cosafa",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.919262","2017-12-28 04:32:20.919262"
69,"unknown type for value >Western Africa< - key wafu",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.924530","2017-12-28 04:32:20.924530"
70,"unknown type for value >Northern Africa< - key unaf",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.928595","2017-12-28 04:32:20.928595"
71,"unknown type for value >Central Africa< - key uniffac",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.933688","2017-12-28 04:32:20.933688"
72,"unknown type for value >West Asia (Middle East)< - key waff",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.937887","2017-12-28 04:32:20.937887"
73,"unknown type for value >East Asia< - key eaff",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.941806","2017-12-28 04:32:20.941806"
74,"unknown type for value >Central and South Asia< - key csaff",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.946889","2017-12-28 04:32:20.946889"
75,"unknown type for value >Southeast Asia & Australia< - key aff",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.950934","2017-12-28 04:32:20.950934"
76,"unknown type for value >Arab League / League of Arab States< - key uafa",warn,,,14013,10252500,"2017-12-28 04:32:20 +0000","2017-12-28 04:32:20.956146","2017-12-28 04:32:20.956146"
77,"unknown type for value >< - key gha",warn,,,14013,10252500,"2017-12-28 04:32:21 +0000","2017-12-28 04:32:21.088788","2017-12-28 04:32:21.088788"
