id,name,kind,lat,lng,created_at,updated_at
184,"Saint Kitts and Nevis",CNTY,,,"2017-12-28 04:32:13.771016","2017-12-28 04:32:13.771016"
185,Basseterre,CITY,,,"2017-12-28 04:32:13.773310","2017-12-28 04:32:13.773310"
186,"Saint Lucia",CNTY,,,"2017-12-28 04:32:13.780626","2017-12-28 04:32:13.780626"
187,Castries,CITY,,,"2017-12-28 04:32:13.784115","2017-12-28 04:32:13.784115"
188,"Saint Vincent and the Grenadines",CNTY,,,"2017-12-28 04:32:13.789962","2017-12-28 04:32:13.789962"
189,Kingstown,CITY,,,"2017-12-28 04:32:13.792289","2017-12-28 04:32:13.792289"
190,"Trinidad and Tobago",CNTY,,,"2017-12-28 04:32:13.798648","2017-12-28 04:32:13.798648"
191,"Port of Spain",CITY,,,"2017-12-28 04:32:13.801218","2017-12-28 04:32:13.801218"
192,Belize,CNTY,,,"2017-12-28 04:32:13.807685","2017-12-28 04:32:13.807685"
193,Belmopan,CITY,,,"2017-12-28 04:32:13.810941","2017-12-28 04:32:13.810941"
194,Guatemala,CNTY,,,"2017-12-28 04:32:13.819194","2017-12-28 04:32:13.819194"
195,"Guatemala City",CITY,,,"2017-12-28 04:32:13.821732","2017-12-28 04:32:13.821732"
196,"Costa Rica",CNTY,,,"2017-12-28 04:32:13.828367","2017-12-28 04:32:13.828367"
197,"San José",CITY,,,"2017-12-28 04:32:13.830836","2017-12-28 04:32:13.830836"
198,Honduras,CNTY,,,"2017-12-28 04:32:13.836674","2017-12-28 04:32:13.836674"
199,Tegucigalpa,CITY,,,"2017-12-28 04:32:13.839331","2017-12-28 04:32:13.839331"
200,"El Salvador",CNTY,,,"2017-12-28 04:32:13.846691","2017-12-28 04:32:13.846691"
201,"San Salvador",CITY,,,"2017-12-28 04:32:13.850257","2017-12-28 04:32:13.850257"
202,Nicaragua,CNTY,,,"2017-12-28 04:32:13.856090","2017-12-28 04:32:13.856090"
203,Managua,CITY,,,"2017-12-28 04:32:13.858438","2017-12-28 04:32:13.858438"
204,"Panamá",CNTY,,,"2017-12-28 04:32:13.864915","2017-12-28 04:32:13.864915"
205,"Panama City",CITY,,,"2017-12-28 04:32:13.867280","2017-12-28 04:32:13.867280"
206,"European Union",SUPR,,,"2017-12-28 04:32:13.874435","2017-12-28 04:32:13.874435"
207,Austria,CNTY,,,"2017-12-28 04:32:13.885663","2017-12-28 04:32:13.885663"
208,Wien,CITY,,,"2017-12-28 04:32:13.888152","2017-12-28 04:32:13.888152"
209,Belgium,CNTY,,,"2017-12-28 04:32:13.894941","2017-12-28 04:32:13.894941"
210,Brussels,CITY,,,"2017-12-28 04:32:13.897607","2017-12-28 04:32:13.897607"
211,Cyprus,CNTY,,,"2017-12-28 04:32:13.903905","2017-12-28 04:32:13.903905"
212,Nicosia,CITY,,,"2017-12-28 04:32:13.907461","2017-12-28 04:32:13.907461"
213,Germany,CNTY,,,"2017-12-28 04:32:13.914768","2017-12-28 04:32:13.914768"
