id,name,place_id,place_kind,lang,created_at,updated_at
91,Wien,208,CITY,en,"2017-12-28 04:32:13.889070","2017-12-28 04:32:13.889070"
92,Brussels,210,CITY,en,"2017-12-28 04:32:13.898529","2017-12-28 04:32:13.898529"
93,Nicosia,212,CITY,en,"2017-12-28 04:32:13.908388","2017-12-28 04:32:13.908388"
94,Berlin,214,CITY,en,"2017-12-28 04:32:13.918245","2017-12-28 04:32:13.918245"
95,Tallinn,216,CITY,en,"2017-12-28 04:32:13.926244","2017-12-28 04:32:13.926244"
96,Madrid,218,CITY,en,"2017-12-28 04:32:13.934593","2017-12-28 04:32:13.934593"
97,Helsinki,220,CITY,en,"2017-12-28 04:32:13.944172","2017-12-28 04:32:13.944172"
98,Paris,222,CITY,en,"2017-12-28 04:32:13.957182","2017-12-28 04:32:13.957182"
99,Athens,224,CITY,en,"2017-12-28 04:32:13.967002","2017-12-28 04:32:13.967002"
100,Dublin,226,CITY,en,"2017-12-28 04:32:13.976848","2017-12-28 04:32:13.976848"
101,"Vatican City",257,CITY,en,"2017-12-28 04:32:14.148075","2017-12-28 04:32:14.148075"
102,Sarajevo,259,CITY,en,"2017-12-28 04:32:14.156806","2017-12-28 04:32:14.156806"
103,Vaduz,261,CITY,en,"2017-12-28 04:32:14.167048","2017-12-28 04:32:14.167048"
104,Monaco,263,CITY,en,"2017-12-28 04:32:14.176086","2017-12-28 04:32:14.176086"
105,Podgorica,265,CITY,en,"2017-12-28 04:32:14.186944","2017-12-28 04:32:14.186944"
106,"Chișinău",267,CITY,en,"2017-12-28 04:32:14.196298","2017-12-28 04:32:14.196298"
107,"(City of) San Marino",269,CITY,en,"2017-12-28 04:32:14.204963","2017-12-28 04:32:14.204963"
108,"Bakı",273,CITY,en,"2017-12-28 04:32:14.225744","2017-12-28 04:32:14.225744"
109,Manama,275,CITY,en,"2017-12-28 04:32:14.235365","2017-12-28 04:32:14.235365"
110,"Kuwait City",277,CITY,en,"2017-12-28 04:32:14.245667","2017-12-28 04:32:14.245667"
111,Muscat,279,CITY,en,"2017-12-28 04:32:14.254713","2017-12-28 04:32:14.254713"
112,Doha,281,CITY,en,"2017-12-28 04:32:14.263798","2017-12-28 04:32:14.263798"
113,Riyadh,283,CITY,en,"2017-12-28 04:32:14.275781","2017-12-28 04:32:14.275781"
114,"Abu Dhabi",285,CITY,en,"2017-12-28 04:32:14.285869","2017-12-28 04:32:14.285869"
115,"Sana'a",287,CITY,en,"2017-12-28 04:32:14.294741","2017-12-28 04:32:14.294741"
116,Baghdad,289,CITY,en,"2017-12-28 04:32:14.303452","2017-12-28 04:32:14.303452"
117,Jerusalem,291,CITY,en,"2017-12-28 04:32:14.312795","2017-12-28 04:32:14.312795"
118,Amman,293,CITY,en,"2017-12-28 04:32:14.323305","2017-12-28 04:32:14.323305"
119,Beirut,295,CITY,en,"2017-12-28 04:32:14.332197","2017-12-28 04:32:14.332197"
120,Damascus,298,CITY,en,"2017-12-28 04:32:14.347154","2017-12-28 04:32:14.347154"
121,Tehran,300,CITY,en,"2017-12-28 04:32:14.356469","2017-12-28 04:32:14.356469"
122,Canberra,305,CITY,en,"2017-12-28 04:32:14.385093","2017-12-28 04:32:14.385093"
123,"Port Moresby",307,CITY,en,"2017-12-28 04:32:14.394619","2017-12-28 04:32:14.394619"
124,Suva,309,CITY,en,"2017-12-28 04:32:14.404429","2017-12-28 04:32:14.404429"
125,Honiara,311,CITY,en,"2017-12-28 04:32:14.412569","2017-12-28 04:32:14.412569"
126,"Port Vila",313,CITY,en,"2017-12-28 04:32:14.422047","2017-12-28 04:32:14.422047"
127,Ngerulmud,315,CITY,en,"2017-12-28 04:32:14.430747","2017-12-28 04:32:14.430747"
128,Palikir,317,CITY,en,"2017-12-28 04:32:14.440231","2017-12-28 04:32:14.440231"
129,Majuro,319,CITY,en,"2017-12-28 04:32:14.450062","2017-12-28 04:32:14.450062"
130,Yaren,321,CITY,en,"2017-12-28 04:32:14.458116","2017-12-28 04:32:14.458116"
131,Tarawa,323,CITY,en,"2017-12-28 04:32:14.468475","2017-12-28 04:32:14.468475"
132,Wellington,325,CITY,en,"2017-12-28 04:32:14.476780","2017-12-28 04:32:14.476780"
133,Apia,327,CITY,en,"2017-12-28 04:32:14.486085","2017-12-28 04:32:14.486085"
134,"Nuku'alofa",329,CITY,en,"2017-12-28 04:32:14.494812","2017-12-28 04:32:14.494812"
135,Funafuti,331,CITY,en,"2017-12-28 04:32:14.504748","2017-12-28 04:32:14.504748"
136,"Buenos Aires",333,CITY,en,"2017-12-28 04:32:14.514627","2017-12-28 04:32:14.514627"
137,"La Paz",335,CITY,en,"2017-12-28 04:32:14.524937","2017-12-28 04:32:14.524937"
138,"Brasília",337,CITY,en,"2017-12-28 04:32:14.534961","2017-12-28 04:32:14.534961"
139,Santiago,339,CITY,en,"2017-12-28 04:32:14.543271","2017-12-28 04:32:14.543271"
140,"Bogotá",341,CITY,en,"2017-12-28 04:32:14.552668","2017-12-28 04:32:14.552668"
141,Quito,343,CITY,en,"2017-12-28 04:32:14.561402","2017-12-28 04:32:14.561402"
142,Lima,345,CITY,en,"2017-12-28 04:32:14.571385","2017-12-28 04:32:14.571385"
143,"Asunción",347,CITY,en,"2017-12-28 04:32:14.579999","2017-12-28 04:32:14.579999"
144,Montevideo,349,CITY,en,"2017-12-28 04:32:14.589536","2017-12-28 04:32:14.589536"
145,Caracas,351,CITY,en,"2017-12-28 04:32:14.599542","2017-12-28 04:32:14.599542"
146,Georgetown,353,CITY,en,"2017-12-28 04:32:14.607433","2017-12-28 04:32:14.607433"
147,Paramaribo,355,CITY,en,"2017-12-28 04:32:14.619078","2017-12-28 04:32:14.619078"
148,Mamoudzou,357,CITY,en,"2017-12-28 04:32:14.629077","2017-12-28 04:32:14.629077"
149,Jamestown,360,CITY,en,"2017-12-28 04:32:14.650696","2017-12-28 04:32:14.650696"
150,"Port-aux-Français",363,CITY,en,"2017-12-28 04:32:14.671878","2017-12-28 04:32:14.671878"
151,"King Edward Point",366,CITY,en,"2017-12-28 04:32:14.690138","2017-12-28 04:32:14.690138"
152,"West Island",370,CITY,en,"2017-12-28 04:32:14.718856","2017-12-28 04:32:14.718856"
153,"Flying Fish Cove",372,CITY,en,"2017-12-28 04:32:14.731909","2017-12-28 04:32:14.731909"
154,"Diego Garcia",374,CITY,en,"2017-12-28 04:32:14.742420","2017-12-28 04:32:14.742420"
155,"Charlotte Amalie",377,CITY,en,"2017-12-28 04:32:14.763280","2017-12-28 04:32:14.763280"
156,Marigot,382,CITY,en,"2017-12-28 04:32:14.800812","2017-12-28 04:32:14.800812"
157,Oranjestad,384,CITY,en,"2017-12-28 04:32:14.811942","2017-12-28 04:32:14.811942"
158,Willemstad,386,CITY,en,"2017-12-28 04:32:14.822280","2017-12-28 04:32:14.822280"
159,Philipsburg,388,CITY,en,"2017-12-28 04:32:14.835423","2017-12-28 04:32:14.835423"
160,"The Valley",390,CITY,en,"2017-12-28 04:32:14.846443","2017-12-28 04:32:14.846443"
161,Plymouth,393,CITY,en,"2017-12-28 04:32:14.871770","2017-12-28 04:32:14.871770"
162,"Cockburn Town",395,CITY,en,"2017-12-28 04:32:14.882627","2017-12-28 04:32:14.882627"
163,"Road Town",397,CITY,en,"2017-12-28 04:32:14.894821","2017-12-28 04:32:14.894821"
164,Belfast,402,CITY,en,"2017-12-28 04:32:14.932231","2017-12-28 04:32:14.932231"
165,Hamilton,412,CITY,en,"2017-12-28 04:32:15.008972","2017-12-28 04:32:15.008972"
166,"Nouméa",415,CITY,en,"2017-12-28 04:32:15.032808","2017-12-28 04:32:15.032808"
167,Saipan,420,CITY,en,"2017-12-28 04:32:15.068204","2017-12-28 04:32:15.068204"
168,Alofi,423,CITY,en,"2017-12-28 04:32:15.087894","2017-12-28 04:32:15.087894"
169,Fakaofo,425,CITY,en,"2017-12-28 04:32:15.099374","2017-12-28 04:32:15.099374"
170,Kingston,427,CITY,en,"2017-12-28 04:32:15.110681","2017-12-28 04:32:15.110681"
171,Adamstown,429,CITY,en,"2017-12-28 04:32:15.122784","2017-12-28 04:32:15.122784"
172,Cayenne,431,CITY,en,"2017-12-28 04:32:15.134865","2017-12-28 04:32:15.134865"
173,Stanley,433,CITY,en,"2017-12-28 04:32:15.145993","2017-12-28 04:32:15.145993"
174,Marrakesh,434,CITY,en,"2017-12-28 04:32:19.744201","2017-12-28 04:32:19.744201"
175,Agadir,435,CITY,en,"2017-12-28 04:32:19.751453","2017-12-28 04:32:19.751453"
176,Johannesburg,436,CITY,en,"2017-12-28 04:32:19.757985","2017-12-28 04:32:19.757985"
177,"Cape Town",437,CITY,en,"2017-12-28 04:32:19.770664","2017-12-28 04:32:19.770664"
178,Durban,438,CITY,en,"2017-12-28 04:32:19.776353","2017-12-28 04:32:19.776353"
179,Pretoria,439,CITY,en,"2017-12-28 04:32:19.784192","2017-12-28 04:32:19.784192"
180,"Port Elizabeth",440,CITY,en,"2017-12-28 04:32:19.789784","2017-12-28 04:32:19.789784"
181,Polokwane,441,CITY,en,"2017-12-28 04:32:19.795152","2017-12-28 04:32:19.795152"
182,Nelspruit,442,CITY,en,"2017-12-28 04:32:19.801995","2017-12-28 04:32:19.801995"
183,Bloemfontein,443,CITY,en,"2017-12-28 04:32:19.807550","2017-12-28 04:32:19.807550"
184,Rustenburg,444,CITY,en,"2017-12-28 04:32:19.814388","2017-12-28 04:32:19.814388"
185,Graz,445,CITY,en,"2017-12-28 04:32:19.853017","2017-12-28 04:32:19.853017"
186,Kapfenberg,446,CITY,en,"2017-12-28 04:32:19.863064","2017-12-28 04:32:19.863064"
187,Hartberg,447,CITY,en,"2017-12-28 04:32:19.870198","2017-12-28 04:32:19.870198"
188,Linz,448,CITY,en,"2017-12-28 04:32:19.875817","2017-12-28 04:32:19.875817"
189,Ried,449,CITY,en,"2017-12-28 04:32:19.883672","2017-12-28 04:32:19.883672"
190,Pasching,450,CITY,en,"2017-12-28 04:32:19.889331","2017-12-28 04:32:19.889331"
191,Steyr,451,CITY,en,"2017-12-28 04:32:19.894751","2017-12-28 04:32:19.894751"
